,s1_image,s2_image,s3_image,action1,action2
275,trident.png,bell.png,tophat.png,1,8
276,trident.png,fox.png,hammer.png,1,2
277,trident.png,fox.png,apple.png,1,8
278,trident.png,fox.png,hammer.png,1,2
279,trident.png,bell.png,train.png,1,2
280,trident.png,bell.png,train.png,1,2
281,planet.png,bell.png,tophat.png,9,8
282,planet.png,bell.png,train.png,9,2
283,trident.png,fox.png,hammer.png,1,2
284,planet.png,tree.png,north.png,9,2
285,planet.png,bell.png,tophat.png,9,8
286,planet.png,tree.png,snorkel.png,9,8
287,planet.png,tree.png,snorkel.png,9,8
288,trident.png,fox.png,apple.png,1,8
289,trident.png,fox.png,hammer.png,1,2
290,trident.png,tree.png,snorkel.png,1,8
291,planet.png,tree.png,north.png,9,2
292,trident.png,fox.png,hammer.png,1,2
293,trident.png,tree.png,snorkel.png,1,8
294,trident.png,fox.png,apple.png,1,8
295,trident.png,bell.png,tophat.png,1,8
296,trident.png,fox.png,apple.png,1,8
297,trident.png,fox.png,hammer.png,1,2
298,trident.png,tree.png,north.png,1,2
299,trident.png,fox.png,apple.png,1,8
300,trident.png,tree.png,snorkel.png,1,8
301,trident.png,fox.png,apple.png,1,8
302,trident.png,tree.png,snorkel.png,1,8
303,trident.png,bell.png,train.png,1,2
304,trident.png,tree.png,snorkel.png,1,8
305,planet.png,tree.png,north.png,9,2
306,trident.png,bell.png,train.png,1,2
307,planet.png,tree.png,north.png,9,2
308,planet.png,bell.png,tophat.png,9,8
309,planet.png,bell.png,train.png,9,2
310,planet.png,tree.png,north.png,9,2
311,planet.png,watch.png,compass.png,9,8
312,trident.png,tree.png,snorkel.png,1,8
313,planet.png,tree.png,snorkel.png,9,8
314,trident.png,fox.png,apple.png,1,8
315,trident.png,bell.png,train.png,1,2
316,trident.png,bell.png,tophat.png,1,8
317,trident.png,bell.png,tophat.png,1,8
318,planet.png,bell.png,tophat.png,9,8
319,trident.png,fox.png,hammer.png,1,2
320,planet.png,bell.png,train.png,9,2
321,trident.png,tree.png,snorkel.png,1,8
322,trident.png,bell.png,train.png,1,2
323,trident.png,tree.png,snorkel.png,1,8
324,planet.png,tree.png,north.png,9,2
325,planet.png,watch.png,compass.png,9,8
326,trident.png,fox.png,hammer.png,1,2
327,trident.png,fox.png,hammer.png,1,2
328,trident.png,fox.png,hammer.png,1,2
329,planet.png,tree.png,snorkel.png,9,8
330,trident.png,fox.png,apple.png,1,8
331,trident.png,fox.png,hammer.png,1,2
332,trident.png,fox.png,hammer.png,1,2
333,planet.png,tree.png,snorkel.png,9,8
334,trident.png,fox.png,apple.png,1,8
335,trident.png,fox.png,hammer.png,1,2
336,trident.png,fox.png,hammer.png,1,2
337,planet.png,tree.png,north.png,9,2
338,trident.png,tree.png,snorkel.png,1,8
339,trident.png,bell.png,train.png,1,2
340,trident.png,fox.png,hammer.png,1,2
341,planet.png,bell.png,tophat.png,9,8
342,trident.png,bell.png,train.png,1,2
343,trident.png,tree.png,snorkel.png,1,8
344,trident.png,tree.png,north.png,1,2
345,trident.png,fox.png,hammer.png,1,2
346,planet.png,tree.png,snorkel.png,9,8
347,trident.png,bell.png,train.png,1,2
348,trident.png,watch.png,houses.png,1,2
349,planet.png,tree.png,snorkel.png,9,8
350,trident.png,bell.png,train.png,1,2
351,trident.png,fox.png,apple.png,1,8
352,trident.png,tree.png,north.png,1,2
353,planet.png,bell.png,tophat.png,9,8
354,trident.png,bell.png,tophat.png,1,8
355,trident.png,tree.png,north.png,1,2
356,trident.png,fox.png,hammer.png,1,2
357,trident.png,tree.png,snorkel.png,1,8
358,planet.png,bell.png,train.png,9,2
359,trident.png,bell.png,train.png,1,2
360,trident.png,tree.png,north.png,1,2
361,trident.png,fox.png,hammer.png,1,2
362,trident.png,bell.png,train.png,1,2
363,planet.png,tree.png,snorkel.png,9,8
364,planet.png,bell.png,train.png,9,2
365,planet.png,tree.png,snorkel.png,9,8
366,planet.png,bell.png,train.png,9,2
367,trident.png,tree.png,snorkel.png,1,8
368,trident.png,tree.png,north.png,1,2
369,planet.png,tree.png,north.png,9,2
370,trident.png,tree.png,snorkel.png,1,8
371,trident.png,bell.png,tophat.png,1,8
372,trident.png,fox.png,hammer.png,1,2
373,planet.png,tree.png,snorkel.png,9,8
374,trident.png,tree.png,snorkel.png,1,8
375,trident.png,tree.png,north.png,1,2
376,trident.png,bell.png,tophat.png,1,8
377,trident.png,fox.png,apple.png,1,8
378,trident.png,fox.png,apple.png,1,8
379,trident.png,bell.png,train.png,1,2
380,planet.png,watch.png,compass.png,9,8
381,trident.png,fox.png,apple.png,1,8
382,planet.png,tree.png,snorkel.png,9,8
383,planet.png,tree.png,snorkel.png,9,8
384,trident.png,bell.png,train.png,1,2
385,planet.png,unicorn.png,window.png,9,2
386,planet.png,tree.png,snorkel.png,9,8
387,trident.png,fox.png,apple.png,1,8
388,trident.png,tree.png,snorkel.png,1,8
389,trident.png,tree.png,snorkel.png,1,8
390,planet.png,tree.png,north.png,9,2
391,trident.png,bell.png,train.png,1,2
392,planet.png,bell.png,tophat.png,9,8
393,trident.png,tree.png,north.png,1,2
394,planet.png,bell.png,tophat.png,9,8
395,trident.png,tree.png,snorkel.png,1,8
396,planet.png,tree.png,north.png,9,2
397,trident.png,bell.png,tophat.png,1,8
398,planet.png,tree.png,snorkel.png,9,8
399,trident.png,bell.png,train.png,1,2
400,trident.png,tree.png,snorkel.png,1,8
401,trident.png,fox.png,apple.png,1,8
402,trident.png,tree.png,north.png,1,2
403,planet.png,bell.png,train.png,9,2
404,trident.png,fox.png,hammer.png,1,2
405,trident.png,bell.png,train.png,1,2
406,trident.png,fox.png,hammer.png,1,2
407,planet.png,tree.png,snorkel.png,9,8
408,planet.png,bell.png,train.png,9,2
409,trident.png,tree.png,north.png,1,2
410,trident.png,bell.png,tophat.png,1,8
411,trident.png,fox.png,apple.png,1,8
412,trident.png,fox.png,apple.png,1,8
413,planet.png,bell.png,train.png,9,2
414,trident.png,bell.png,train.png,1,2
415,trident.png,fox.png,apple.png,1,8
416,trident.png,fox.png,hammer.png,1,2
417,trident.png,bell.png,train.png,1,2
418,planet.png,bell.png,train.png,9,2
419,trident.png,tree.png,north.png,1,2
420,trident.png,bell.png,train.png,1,2
421,trident.png,fox.png,apple.png,1,8
422,trident.png,tree.png,snorkel.png,1,8
423,trident.png,fox.png,hammer.png,1,2
424,planet.png,tree.png,north.png,9,2
425,trident.png,bell.png,tophat.png,1,8
426,trident.png,tree.png,north.png,1,2
427,trident.png,fox.png,hammer.png,1,2
428,trident.png,fox.png,apple.png,1,8
429,trident.png,bell.png,tophat.png,1,8
430,trident.png,fox.png,hammer.png,1,2
431,trident.png,bell.png,train.png,1,2
432,trident.png,tree.png,north.png,1,2
433,planet.png,tree.png,snorkel.png,9,8
434,planet.png,watch.png,houses.png,9,2
435,trident.png,fox.png,apple.png,1,8
436,trident.png,tree.png,snorkel.png,1,8
437,trident.png,tree.png,north.png,1,2
438,trident.png,bell.png,tophat.png,1,8
439,trident.png,tree.png,north.png,1,2
440,trident.png,fox.png,hammer.png,1,2
441,trident.png,tree.png,north.png,1,2
442,trident.png,fox.png,apple.png,1,8
443,trident.png,tree.png,north.png,1,2
444,trident.png,fox.png,hammer.png,1,2
445,trident.png,tree.png,snorkel.png,1,8
446,trident.png,bell.png,tophat.png,1,8
447,planet.png,tree.png,north.png,9,2
448,trident.png,bell.png,train.png,1,2
449,planet.png,bell.png,tophat.png,9,8
450,planet.png,tree.png,north.png,9,2
451,planet.png,tree.png,north.png,9,2
452,trident.png,bell.png,train.png,1,2
453,planet.png,tree.png,north.png,9,2
454,trident.png,bell.png,train.png,1,2
455,planet.png,bell.png,tophat.png,9,8
456,trident.png,fox.png,hammer.png,1,2
457,planet.png,tree.png,snorkel.png,9,8
458,trident.png,tree.png,snorkel.png,1,8
459,trident.png,fox.png,hammer.png,1,2
460,trident.png,fox.png,hammer.png,1,2
461,trident.png,fox.png,hammer.png,1,2
462,planet.png,bell.png,tophat.png,9,8
463,trident.png,fox.png,apple.png,1,8
464,planet.png,bell.png,train.png,9,2
465,planet.png,tree.png,north.png,9,2
466,planet.png,bell.png,train.png,9,2
467,trident.png,bell.png,train.png,1,2
468,trident.png,tree.png,snorkel.png,1,8
469,planet.png,bell.png,train.png,9,2
470,trident.png,tree.png,snorkel.png,1,8
471,trident.png,fox.png,hammer.png,1,2
472,planet.png,tree.png,snorkel.png,9,8
473,trident.png,tree.png,snorkel.png,1,8
474,trident.png,fox.png,apple.png,1,8
475,trident.png,tree.png,snorkel.png,1,8
476,planet.png,tree.png,north.png,9,2
477,trident.png,bell.png,train.png,1,2
478,planet.png,bell.png,train.png,9,2
479,trident.png,bell.png,train.png,1,2
480,trident.png,fox.png,hammer.png,1,2
481,trident.png,tree.png,north.png,1,2
482,trident.png,bell.png,tophat.png,1,8
483,planet.png,tree.png,north.png,9,2
484,trident.png,fox.png,apple.png,1,8
485,planet.png,bell.png,tophat.png,9,8
486,trident.png,bell.png,train.png,1,2
487,planet.png,unicorn.png,window.png,9,8
488,trident.png,tree.png,north.png,1,2
489,planet.png,bell.png,train.png,9,2
490,trident.png,fox.png,hammer.png,1,2
491,trident.png,fox.png,apple.png,1,8
492,planet.png,bell.png,train.png,9,2
493,trident.png,bell.png,tophat.png,1,8
494,planet.png,bell.png,tophat.png,9,8
495,trident.png,fox.png,hammer.png,1,2
496,planet.png,tree.png,north.png,9,2
497,planet.png,bell.png,train.png,9,2
498,trident.png,fox.png,hammer.png,1,2
499,planet.png,bell.png,tophat.png,9,8
