sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.8685,0.852,5,0,0,2
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,1.0836,0.852,6,9,0,2
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,3.4157,0.99385,1,1,1,2
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,1.5589,0.99385,2,4,0,2
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,0.6898,0.99385,3,3,0,2
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,0.6836,0.99385,4,7,1,2
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,0.6171,0.99385,5,6,0,2
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,0.6736,0.99385,6,9,0,2
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,9.4198,0.4025,1,2,0,2
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,1.7758,0.4025,2,3,0,2
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,0.9019,0.4025,3,4,0,2
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,0.8688,0.4025,4,1,0,2
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,0.772,0.4025,5,6,0,2
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0,0.5,1,1,1.5092,0.4025,6,8,0,2
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,3.282,0.9235,1,5,1,2
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,0.587,0.9235,2,8,1,2
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,0.56,0.9235,3,7,1,2
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,0.619,0.9235,4,4,1,2
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,0.686,0.9235,5,3,1,2
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1,0.5,1,0.5,0.357,0.9235,6,1,1,2
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,1.0003,0.2668,1,7,1,2
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,1.6836,0.2668,2,6,0,2
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,0.4495,0.2668,3,0,0,2
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,0.6003,0.2668,4,4,0,2
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,0.3335,0.2668,5,2,0,2
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.333333333,0.5,1,0.5,0.7248,0.2668,6,9,1,2
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,1.502,0.369,1,8,1,2
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,0.502,0.369,2,3,1,2
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,1.618,0.369,3,6,0,2
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,0.552,0.369,4,4,1,2
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,0.418,0.369,5,2,1,2
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.833333333,0.5,1,0.5,0.418,0.369,6,5,1,2
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,5.1065,0.6209,1,2,1,2
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,1.0064,0.6209,2,7,1,2
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,3.4747,0.6209,3,6,0,2
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,1.8963,0.6209,4,3,0,2
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,1.1548,0.6209,5,9,1,2
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1,1,1.6437,0.6209,6,0,0,2
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,7.2356,1.15495,1,1,1,2
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,1.2589,1.15495,2,2,1,2
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,0.5639,1.15495,3,0,1,2
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,0.5022,1.15495,4,5,1,2
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,0.5693,1.15495,5,3,1,2
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1,0.75,0.75,0.25,0.7678,1.15495,6,9,1,2
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,1.1577,0.83885,1,1,0,2
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,0.8189,0.83885,2,0,0,2
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,0.6331,0.83885,3,5,0,2
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,0.8987,0.83885,4,8,0,2
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,0.4648,0.83885,5,9,0,2
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0,0.5,1,1,0.36,0.83885,6,6,0,2
